Campaign Volunteer Directory,,,,,,,,
"*Please note that this is NOT an endorsement of any candidates. 
Tabitha Zeigler,Indiana,Federal,U.S. House of Representatives District 08 (Indiana),Democrat,"District 8 - Terre Haute, Vincennes, Evansville",Anti-corruption.  Integrity.  Domestic Violence.  Human Trafficking.  Child Exploitation.  Autism/Neurodiversity/Disability.  LGBTQIA+2S.  Environment.  Farming.  No Data Centers.,https://tabithazeiglerforcongress.com/,info@tabithazeiglerforcongress.com
Racheal Bleicher,Indiana,State,"Representative, House District 24",Democrat,Westfield/Sheridan/West Carmel/East Zionsville,"1. Use tax dollars effectively to invest in Indiana
2. Protect public schools
3. Listen, engage and be a voice for our community",www.rachealforindiana.com,https://www.rachealforindiana.com/#Volunteer
Nate for 38 (Nate Stout),Indiana,State,State representative,Democrat,"All of Tipton and Carroll County, most of Clinton County, and some of Cass, Tippecanoe, and Western Howard Counties.",1 Fully restoring public education 2 accessible and affordable rural health care 3 money out of politics,https://hoosierstoelectnatestout.com/,https://forms.gle/fLZL9uko4a3VSfZt8
Stephanie Jo Yocum,Indiana,State,"IN State Representative, D88",Dem,"Geist area of Marion County and Hamilton County, McCordsville, Fortville, Buck Creek, Mt Comfort area of Hancock County, Ingalls and surrounding area of Madison County","Protect your money, Protect your schools, Protect your voice and freedoms. People over politics!",Stephaniejoyocum.com,Stephaniejoyocum.com/volunteer
Victoria Martz,Indiana,State,Statehouse Representative District 55,Democrat,"Southeastern Indiana (Brookville, Metamora, Connersville, Batesville, Liberty, Greensburg, Rush)",1. Fully Fund Public Schools 2. Affordable Childcare 3. Raise the Wage,votevictoriamartz.org,https://votevictoriamartz.org/contact-2/
Julie McGill,Indiana,State,IN State Senate District 15,Democrat,"**Fort Wayne** (46805, 46815, east-side 46818, 46825, 46835, 46845), **Huntertown**, **Leo-Cedarville**, and a small piece of **NW New Haven**, all located inside of Allen County.","1. Healthcare 
2. Accountability/Transparency in Government
3. Better Economical choices - programs with fed match vs corporate giveaways","www.mcgillforindiana.com 
Facebook.com/mcgillforindiana",https://mcgillforindiana.com/volunteer
Leila Staton,Iowa,State,Iowa House of Representatives District 54,Democrat,"Hardin County, Grundy County, Western Black Hawk County","•Clean Water 
•Fund Public Education/Repeal Private School Vouchers
•Protect local farms>Corporate Agribusiness",leilaforiowa.com,leilaforiowa.com/volunteer  OR email team@leilaforiowa.com
Leila Staton,Iowa,State,Iowa House of Representatives District 54,Democrat,"Hardin County, Grundy County, Western Black Hawk County","•Clean water
•Fund Public Education & repeal private school vouchers
•Protect local farms>corporate agribusiness",leilaforiowa.com,"https://docs.google.com/forms/d/e/1FAIpQLSebBzricpl5rFScrXZblVaXLg9Iqjaim5nnfpZRvhGH1SG0-Q/viewform

OR email team@leilaforiowa.com"
Sarah Prdu,Kansas,Federal,US House - Kansas district 3,Democrat,"Johnson county, KS; Miami County, KS; Anderson County, KS; Franklin County, KS; Southern Wyandotte County, KS",1. Universal healthcare 2. End ICE. 3.Arms embargo to Israel,SarahPreu2026.com,https://www.sarahpreu2026.com/#volunteer
Anne Parelkar,Kansas,Federal,United States Senate,Democrat,Statewide,1. Medicare for All 2. Overturn Citizens United 3. Break up monopolies & stop Big Tech oligarchs,https://www.anneforkansas.com/,https://anneforkansas.nationbuilder.com/volunteer
Brandon Pierce,Kansas,State,Kansas State Senate District 6,Democrat,"Northeast Kansas, including Kansas City (KS side), Bonner Springs, and surrounding Wyandotte County communities",I strongly support continued scrutiny and investigations involving figures like Donald Trump.. We keep calling workforce shortages a mystery while underfunding schools and pushing people out of the state reverse that trend by actually investing in education and wages. Medicaid expansion isn’t theoretical here; it’s the difference between open and closed hospitals.,https://www.pierceKS4us.info X: https://x.com/pierce4ks6,https://www.pierceKS4us.info X: https://x.com/pierce4ks6
William Compton,Kentucky,Federal,US House KY-02,Democratic,"Middle of Kentucky. It starts in Bowling Green and travels up I-65 towards eastern Jefferson county (Eastern side of Louisville), then on the left is a straight diagonal to Owensboro with the 2 counties below it included.",1. Progressive policies like Medicare for all. 2. Get money out of politics. 3. Fully fund our public schools,Www.williamcompton.com,You can email the campaign at williamcompton4ky@gmail.com or scroll to the bottom of home page on website and fill the information out.
Caleb Whitaker,Kentucky,State,Kentucky House of Representatives District 33,Democratic Party,Louisville area,"1- The state keeps underfunding pensions and then acting surprised when systems strain. Fix the math and commit to it long term
2- Public safety should include violence interruption programs, not just more patrols
3- Also, legalize sports betting revenue for schools… wait we already did that, so where is the money actually going",https://www.whitakerky4us.org/,https://www.whitakerky4us.org/volunteer
Darius Fields,Louisiana,Local,New Orleans City Council District B,Democratic Party,"Uptown New Orleans, including neighborhoods along the Mississippi River and parts of Central City","The city keeps talking about resilience while entire neighborhoods still flood during routine storms, so I’m focused on aggressive drainage upgrades and accountability for where infrastructure money actually goes. At the same time, we need to stop approving short-term rentals that hollow out communities and drive up rent for longtime residents. And yes, even at the local level, I support investigations into Trump and his cabinet.","Twitter (X): https://x.com/fields4nolaB
Website: https://www.fieldsLA4us.info","Twitter (X): https://x.com/fields4nolaB
Website: https://www.fieldsLA4us.info"
Paige Loud,Maine,Federal,US House Congressional District 2,Democrat,95% of the land mass in Maine (Jared Golden's seat),1. Money out of politics 2. Universal healthcare 3. Housing first solutions,loudforcongress.com,https://docs.google.com/forms/d/e/1FAIpQLScVykkX0VEjXT8-xCepWFLbYVcqMShtPFnyXCB3zDf-K13z3A/viewform
Evan McLeod,Maine,State,Maine State Senate District 5,please help me get in touch with Platner!! Democratic Party,"Northern Maine including Presque Isle, Caribou, and surrounding Aroostook County communities",Rural economies are being treated like afterthoughts. Invest in local agriculture processing and keep jobs in-state. Let’s expand  telehealth infrastructure because long drives for basic care are not sustainable up here also fix the damn roads every winter its the same thing,https://www.mcleodme4us.info/,https://www.mcleodme4us.info/join
Imani Okafor,Maryland,State,Maryland House of Delegates District 24,Democratic Party,"Prince George’s County including parts of Hyattsville, Landover, and surrounding communities","1 School construction keeps getting delayed while costs go up, we need a dedicated funding stream that cannot be raided 2 Ban medical debt from being reported on credit reports statewide and 3 expand childcare subsidies so people can actually go back to work",https://www.okaformd4us.org/,https://www.okaformd4us.org/volunteer
Harry Jarin,Maryland,Federal,"US House of Representatives, Maryland's 5th District",Democrat,"Southern Maryland: Prince George's County, Anne Arundel County, Charles County, Calvert County, and St. Mary's County","1. No corporate PAC money / anti-corruption reform; 2. Universal healthcare + childcare; 3. Build more: transit, housing, clean energy",harrymd5.com,https://www.harrymd5.com/contact
Aaliyah Rahman,Maryland,Local,Prince George’s County Council District 5,Democratic Party,"Central Prince George’s County, including Capitol Heights, Seat Pleasant just east of Washington, D.C!","County budgets keep growing, but residents aren’t seeing proportional improvements in services 1 that wealth gap is where I’m focused. 2 We need to align development approvals with school capacity and infrastructure so growth doesn’t overwhelm existing communities. And I’m not separating local leadership from national responsibility. Last 3 lets make sure we impeach Trump.",https://www.rahmanMD4us.org,https://www.rahmanMD4us.org/volunteer
Leigha Messick,Maryland,Federal,House of Representatives,Democrat,"Charles, Prince George’s, Calvert, Saint Mary’s, Anne Arundel.","Abolish ICE, Healthcare for all, mental healthcare infrastructure, no PAC money, Term Limits, Ranked Choice Voting, Money out of politics.",LeighaForCongress.com,https://leighaforcongress.com/volunteer
Randi White,Maryland,Federal,Us House of Representatives-MD-01,Democrat,Maryland’s Eastern Shore plus Harford County & the Northeast sliver of Baltimore County,"The big  3 issues in our district, after listening are healthcare access, education, and the cost of living (working on access to better jobs, better wages, and attainable housing).",Randiformd.com,https://randiformd.com/volunteer
Bobby LaPin,Maryland,State,MD Senate,Dems I think - I’m not Bobby,Baltimore,Unseat Bill - for me,Bobbyforbaltimore.com,"I’m not Bobby, but hes critical to unseat our “Schumer” Bill Ferguson"
Jakeya Johnson,Maryland,Federal,US House MD 04,Dem,"The vast majority of Prince George's County plus parts of Silver Spring,  Burtonsville, and Spencerville","- money & corporate influence out of politics 
-policies the materially improve the lives of everyday people 
-ending government corruption ",Jakeyajohnson.com,https://actionnetwork.org/forms/ready-to-get-your-hands-dirty?source=direct_link&
Dr. Mariah Lancaster,Massachusetts,Federal,"U.S. House of Representatives, MA-06",Democrat,"Northeast MA, north of Boston","1. Universal Healthcare & Childcare
2. Countercorruption/anti-trust
3. Clean energy revolution",www.MariahLancaster.com,Email Volunteer@MariahLancaster.com
Craig Swallow,Massachusetts,Federal,U.S. House of Representatives,Democratic,MA-09,1.) Medicare for All 2.) Ban Congressional Stock Trading & Overturn Citizens United 3.) Term Limits for Congress and Supreme Court,www.craigswallowforcongreess.com,Volunteer@craigswallowforcongress.com & https://survey123.arcgis.com/share/a26469f7d02548df82e6d3f4e3ea484a?portalUrl=https://jkvilhaug.maps.arcgis.com
Andrew Fitch,Massachusetts,State,MA House of Representatives 1st Berkshire District,Democrat,"Adams
Cheshire
Clarksburg
Florida
Hancock
Hinsdale
Lanesborough
New Ashford
North Adams
Peru
Savoy
Williamstown
Windsor","Economic Opportunity, Affordability, Regional Collaboration",www.andrewfitch.org,https://www.andrewfitch.org/volunteer
Kofi Mensah Esq.,Massachusetts,State,Mass House of Representatives District 7,Democratic Party,"Boston area, including Roxbury, Dorchester, and nearby neighborhoods in Suffolk County","Fix the transit system so it actually runs on time and people can rely on it for work and school and cap the insane  rent increases annually and create a right to counsel for tenants facing eviction, stop the importation of wolves into ASPEN!!!!",https://x.com/mensah4ma7,https://www.mensahma4us.org/volunteer
Samantha O’Neill,Massachusetts,State,Massachusetts State Senate – Suffolk & Middlesex District,"
Democratic Party","Greater Boston area, parts of Cambridge, Somerville, and nearby communities just north of Boston","1 We keep calling it a “shortage” but it’s also speculation—tax vacant luxury units and reinvest into public housing
2 Expand commuter rail frequency to true regional transit (every 15–20 minutes), not just peak-hour service
3 Codify data privacy protections so companies can’t quietly sell or misuse personal information without consent",https://www.oneillMA4us.org,https://www.oneillMA4us.org/get-involved
Jordan Korgood,Massachusetts,State,MA Governor’s Council,Democratic,Boston + South Shore,"Improving judicial equity to steer MA away from mass incarceration. Emphasis of progressive values (racial equity, antirecidivism, rehabilitation, trans/immigrant/abortion/labor rights) in the courts. Appointing diverse judges from a wide range of backgrounds (particularly from underrepresented groups).",Jordanforgood.com,https://www.jordanforgood.com/get-involved
Avery Thompson,Michigan,State,Michigan House of Representatives District 45,Democratic Party,"Suburban Detroit area including Rochester Hills, Troy, and nearby communities in Oakland County","Lower prescription drug costs
Strengthen public schools funding
Expand clean energy jobs",https://www.averythompson45.com,https://www.averythompson45.com/volunteer
Tariq Mahmoud,Michigan,Local,Detroit City Council District 7,Democratic Party,"West Detroit, including neighborhoods like Brightmoor, Rosedale Park, and surrounding areas","1. END IRAN WAR 2. Detroit doesn’t have a lack of plans—it has a follow-through problem, so I’m focused on enforcing timelines and transparency for city-funded projects. 3. We also need to rethink property tax assessments that overvalue homes in certain neighborhoods while others go under-assessed.",https://www.mahmoudMI4us.info,https://www.mahmoudMI4us.info/get-involved
Katrina Manetta,Michigan,State,"State Representative, District 58",Democrat,"Shelby Township, Sterling Heights, Utica, and Warren","1. Get money out of politics, take on corporate/billionaire power, lower everyday costs
2. Strong unions, good-paying jobs, affordable college and skills training
3. Protect rights and democracy, stand up to extremism, defend the people at home and abroad",https://katrinamanetta.com/,https://www.mobilize.us/katrinamanetta/event/892052/
Joanna Whaley,Michigan,State,State House District 2,Democrat,South of Detroit,"Fighting utility monopolies, single-payer healthcare and civil rights.",www.joannawhaley.com,www.joannawhaley.com/volunteer
Chris Gilmer-Hill,Michigan,State,Michigan State House District 8,Democrat,North Detroit and the inner ring suburbs of Pleasant Ridge and Ferndale,"1. Money out of politics! Chris is not taking any corporate money, and fights against data centers and our corporate power monopoly for a living; 2. Invest in Communities, not corporations: Tax the rich and corporations to fund the goods and services we need to thrive like transit, education, and affordable housing; 3. True Affordability: that means fighting against rate hikes for our energy,  and fighting for affordable and clean water, universal healthcare and childcare, etc.",chrisgilmerhill.com,chrisgilmerhill.com/volunteer
